Date;Bikes
2020-05-09T14:35:44.884Z;2;
2020-05-09T15:35:44.969Z;2;
2020-05-09T16:35:45.047Z;2;
2020-05-09T17:35:45.069Z;3;
2020-05-09T18:35:45.149Z;3;
2020-05-09T19:35:45.238Z;3;
2020-05-09T20:35:45.277Z;3;
2020-05-09T21:35:45.286Z;3;
2020-05-09T22:35:45.373Z;2;
2020-05-09T23:35:45.460Z;2;
2020-05-10T00:35:45.501Z;2;
2020-05-10T01:35:45.525Z;2;
2020-05-10T02:35:45.603Z;2;
2020-05-10T03:35:45.689Z;2;
2020-05-10T04:35:45.721Z;2;
2020-05-10T05:35:45.757Z;2;
2020-05-10T06:35:45.821Z;2;
2020-05-10T07:35:45.921Z;2;
2020-05-10T08:35:46.021Z;2;
2020-05-10T09:35:46.069Z;2;
2020-05-10T10:35:46.161Z;2;
2020-05-10T11:35:46.257Z;1;
2020-05-10T12:35:46.329Z;1;
2020-05-10T13:35:46.372Z;1;
2020-05-10T14:35:46.445Z;1;
2020-05-10T15:35:46.465Z;1;
2020-05-10T16:35:46.501Z;1;
2020-05-10T17:35:46.586Z;1;
2020-05-10T18:35:46.601Z;1;
2020-05-10T19:35:46.693Z;0;
2020-05-10T20:35:46.737Z;0;
2020-05-10T21:35:46.821Z;1;
2020-05-10T22:35:46.913Z;1;
2020-05-10T23:35:46.917Z;2;
2020-05-11T00:35:46.953Z;2;
2020-05-11T01:35:47.005Z;2;
2020-05-11T02:35:47.061Z;2;
2020-05-11T03:35:47.109Z;2;
2020-05-11T04:35:47.166Z;2;
2020-05-11T05:35:47.253Z;2;
2020-05-11T06:35:47.277Z;2;
2020-05-11T07:35:47.333Z;3;
2020-05-11T08:35:47.373Z;4;
2020-05-11T09:35:47.465Z;4;
2020-05-11T10:35:47.502Z;5;
2020-05-11T11:35:47.549Z;5;
2020-05-11T12:35:47.573Z;5;
2020-05-11T13:35:47.648Z;5;
2020-05-11T14:35:47.745Z;5;
2020-05-11T15:35:47.757Z;5;
2020-05-11T16:35:47.845Z;4;
2020-05-11T17:35:47.877Z;2;
2020-05-11T18:35:47.917Z;2;
2020-05-11T19:35:48.001Z;2;
2020-05-11T20:35:48.102Z;2;
2020-05-11T21:35:48.201Z;2;
2020-05-11T22:35:48.297Z;2;
2020-05-11T23:35:48.361Z;2;
2020-05-12T00:35:48.433Z;2;
2020-05-12T01:35:48.529Z;2;
2020-05-12T02:35:48.565Z;2;
2020-05-12T03:35:48.614Z;2;
2020-05-12T04:35:48.677Z;2;
2020-05-12T05:35:48.769Z;2;
2020-05-12T06:35:48.797Z;2;
2020-05-12T07:35:48.862Z;6;
2020-05-12T08:35:48.885Z;7;
2020-05-12T09:35:48.910Z;8;
2020-05-12T10:35:48.973Z;8;
2020-05-12T11:35:49.029Z;8;
2020-05-12T12:35:49.077Z;8;
2020-05-12T13:35:49.129Z;8;
2020-05-12T14:35:49.221Z;7;
2020-05-12T15:35:49.299Z;7;
2020-05-12T16:35:49.343Z;3;
2020-05-12T17:35:49.401Z;2;
2020-05-12T18:35:49.481Z;2;
2020-05-12T19:35:49.501Z;2;
2020-05-12T20:35:49.601Z;2;
2020-05-12T21:35:49.629Z;2;
2020-05-12T22:35:49.710Z;2;
2020-05-12T23:35:49.785Z;2;
2020-05-13T00:35:49.845Z;2;
2020-05-13T01:35:49.905Z;2;
2020-05-13T02:35:49.966Z;2;
2020-05-13T03:35:50.005Z;2;
2020-05-13T04:35:50.097Z;2;
2020-05-13T05:35:50.133Z;2;
2020-05-13T06:35:50.233Z;2;
2020-05-13T07:35:50.289Z;2;
2020-05-13T08:35:50.381Z;3;
2020-05-13T09:35:50.482Z;3;
2020-05-13T10:35:50.550Z;3;
2020-05-13T11:35:50.577Z;4;
2020-05-13T12:35:50.625Z;4;
2020-05-13T13:35:50.719Z;3;
2020-05-13T14:35:50.741Z;3;
2020-05-13T15:35:50.833Z;2;
2020-05-13T16:35:50.934Z;2;
2020-05-13T17:35:51.009Z;3;
2020-05-13T18:35:51.025Z;2;
2020-05-13T19:35:51.121Z;2;
2020-05-13T20:35:51.165Z;0;
2020-05-13T21:35:51.169Z;1;
2020-05-13T22:35:51.181Z;1;
2020-05-13T23:35:51.281Z;1;
2020-05-14T00:35:51.289Z;1;
2020-05-14T01:35:51.294Z;1;
2020-05-14T02:35:51.379Z;1;
2020-05-14T03:35:51.381Z;1;
2020-05-14T04:35:51.473Z;1;
2020-05-14T05:35:51.573Z;1;
2020-05-14T06:35:51.666Z;1;
2020-05-14T07:35:51.681Z;3;
2020-05-14T08:35:51.689Z;3;
2020-05-14T09:35:51.729Z;3;
2020-05-14T10:35:51.749Z;4;
2020-05-14T11:35:51.846Z;4;
2020-05-14T12:35:51.941Z;6;
2020-05-14T13:35:52.033Z;5;
2020-05-14T14:35:52.134Z;5;
2020-05-14T15:35:52.185Z;3;
2020-05-14T16:35:52.229Z;3;
2020-05-14T17:35:52.297Z;1;
2020-05-14T18:35:52.349Z;2;
2020-05-14T19:35:52.405Z;2;
2020-05-14T20:35:52.501Z;2;
2020-05-14T21:35:52.541Z;2;
2020-05-14T22:35:52.625Z;2;
2020-05-14T23:35:52.684Z;2;
2020-05-15T00:35:52.782Z;2;
2020-05-15T01:35:52.809Z;2;
2020-05-15T02:35:52.873Z;2;
2020-05-15T03:35:52.952Z;2;
2020-05-15T04:35:53.029Z;2;
2020-05-15T05:35:53.113Z;2;
2020-05-15T06:35:53.157Z;2;
2020-05-15T07:35:53.229Z;4;
2020-05-15T08:35:53.305Z;6;
2020-05-15T09:35:53.341Z;6;
2020-05-15T10:35:53.409Z;7;
2020-05-15T11:35:53.473Z;7;
2020-05-15T12:35:53.493Z;8;
2020-05-15T13:35:53.501Z;8;
2020-05-15T14:35:53.517Z;7;
2020-05-15T15:35:53.537Z;7;
2020-05-15T16:35:53.593Z;7;
2020-05-15T17:35:53.678Z;7;
2020-05-15T18:35:53.737Z;6;
2020-05-15T19:35:53.781Z;6;
2020-05-15T20:35:53.853Z;5;
2020-05-15T21:35:53.937Z;5;
2020-05-15T22:35:53.953Z;5;
2020-05-15T23:35:53.998Z;5;
2020-05-19T12:39:02.495Z;6;
2020-05-19T12:39:58.881Z;6;
2020-05-19T13:39:58.936Z;6;
2020-05-19T14:39:59.012Z;4;
2020-05-19T15:39:59.064Z;4;
2020-05-19T16:39:59.096Z;3;
2020-05-19T17:39:59.188Z;3;
2020-05-19T18:39:59.228Z;3;
2020-05-19T19:39:59.292Z;4;
2020-05-19T20:39:59.376Z;4;
2020-05-19T21:39:59.474Z;4;
2020-05-19T22:39:59.500Z;2;
2020-05-19T23:39:59.536Z;2;
2020-05-20T00:39:59.568Z;2;
2020-05-20T01:39:59.576Z;2;
2020-05-20T02:39:59.668Z;2;
2020-05-20T03:39:59.748Z;2;
2020-05-20T04:39:59.788Z;2;
2020-05-20T05:39:59.868Z;2;
2020-05-20T06:39:59.956Z;1;
2020-05-20T07:40:00.012Z;3;
2020-05-20T08:40:00.088Z;6;
2020-05-20T09:40:00.172Z;6;
2020-05-20T10:40:00.268Z;6;
2020-05-20T11:40:00.369Z;7;
2020-05-20T12:40:00.376Z;7;
2020-05-20T13:40:00.388Z;7;
2020-05-20T14:40:00.416Z;7;
2020-05-20T15:40:00.500Z;8;
2020-05-20T16:40:00.587Z;6;
2020-05-20T17:40:00.620Z;5;
2020-05-20T18:40:00.688Z;5;
2020-05-20T19:40:00.754Z;4;
2020-05-20T20:40:00.808Z;4;
2020-05-20T21:40:00.904Z;4;
2020-05-20T22:40:00.981Z;3;
2020-05-20T23:40:01.071Z;3;
2020-05-21T00:40:01.091Z;3;
2020-05-21T01:40:01.144Z;3;
2020-05-21T02:40:01.233Z;3;
2020-05-21T03:40:01.316Z;3;
2020-05-21T04:40:01.373Z;3;
2020-05-21T05:40:01.456Z;3;
2020-05-21T06:40:01.518Z;4;
2020-05-21T07:40:01.576Z;5;
2020-05-21T08:40:01.628Z;5;
2020-05-21T09:40:01.724Z;4;
2020-05-21T10:40:01.805Z;4;
2020-05-21T11:40:01.844Z;5;
2020-05-21T12:40:01.916Z;4;
2020-05-21T13:40:01.944Z;5;
2020-05-21T14:40:01.996Z;5;
2020-05-21T15:40:02.036Z;4;
2020-05-21T16:40:02.036Z;4;
2020-05-21T17:40:02.064Z;5;
2020-05-21T18:40:02.144Z;5;
2020-05-21T19:40:02.156Z;6;
2020-05-21T20:40:02.164Z;5;
2020-05-21T21:40:02.220Z;5;
2020-05-21T22:40:02.312Z;5;
2020-05-21T23:40:02.408Z;5;
2020-05-22T00:40:02.476Z;5;
2020-05-22T01:40:02.500Z;5;
2020-05-22T02:40:02.588Z;5;
2020-05-22T03:40:02.672Z;5;
2020-05-22T04:40:02.754Z;5;
2020-05-22T05:40:02.796Z;6;
2020-05-22T06:40:02.892Z;6;
2020-05-22T07:40:02.925Z;6;
2020-05-22T08:40:02.980Z;5;
2020-05-22T09:40:03.024Z;5;
2020-05-22T10:40:03.110Z;6;
2020-05-22T11:40:03.196Z;6;
2020-05-22T12:40:03.292Z;6;
2020-05-22T13:40:03.393Z;7;
2020-05-22T14:40:03.404Z;6;
2020-05-22T15:40:03.500Z;6;
2020-05-22T16:40:03.596Z;6;
2020-05-22T17:40:03.660Z;5;
2020-05-22T18:40:03.740Z;4;
2020-05-22T19:40:03.827Z;4;
2020-05-22T20:40:03.888Z;3;
2020-05-22T21:40:03.932Z;2;
2020-05-22T22:40:03.988Z;2;
2020-05-22T23:40:04.048Z;2;
2020-05-23T00:40:04.128Z;2;
2020-05-23T01:40:04.132Z;4;
2020-05-23T02:40:04.196Z;4;
2020-05-23T03:40:04.204Z;3;
2020-05-23T04:40:04.208Z;3;
2020-05-23T05:40:04.300Z;4;
2020-05-23T06:40:04.325Z;4;
2020-05-23T07:40:04.397Z;3;
2020-05-23T08:40:04.460Z;3;
2020-05-23T09:40:04.500Z;3;
2020-05-23T10:40:04.500Z;3;
2020-05-23T11:40:04.536Z;3;
2020-05-23T12:40:04.620Z;3;
2020-05-23T13:40:04.665Z;3;
2020-05-23T14:40:04.724Z;4;
2020-05-23T15:40:04.756Z;4;
2020-05-23T16:40:04.792Z;4;
2020-05-23T17:40:04.884Z;4;
2020-05-23T18:40:04.930Z;4;
2020-05-23T19:40:04.948Z;3;
2020-05-23T20:40:05.048Z;3;
2020-05-23T21:40:05.099Z;3;
2020-05-23T22:40:05.144Z;3;
2020-05-23T23:40:05.160Z;3;
2020-05-24T00:40:05.228Z;3;
2020-05-24T01:40:05.318Z;3;
2020-05-24T02:40:05.393Z;2;
2020-05-24T03:40:05.436Z;2;
2020-05-24T04:40:05.488Z;3;
2020-05-24T05:40:05.501Z;4;
2020-05-24T06:40:05.598Z;4;
2020-05-24T07:40:05.668Z;4;
2020-05-24T08:40:05.744Z;3;
2020-05-24T09:40:05.764Z;3;
2020-05-24T10:40:05.856Z;3;
2020-05-24T11:40:05.928Z;3;
2020-05-24T12:40:05.956Z;3;
2020-05-24T13:40:06.056Z;2;
2020-05-24T14:40:06.148Z;2;
2020-05-24T15:40:06.196Z;2;
2020-05-24T16:40:06.284Z;2;
2020-05-24T17:40:06.376Z;1;
2020-05-24T18:40:06.380Z;1;
2020-05-24T19:40:06.456Z;1;
2020-05-24T20:40:06.464Z;1;
2020-05-24T21:40:06.500Z;3;
2020-05-24T22:40:06.516Z;3;
2020-05-24T23:40:06.604Z;3;
2020-05-25T00:40:06.700Z;3;
2020-05-25T01:40:06.732Z;3;
2020-05-25T02:40:06.776Z;3;
2020-05-25T03:40:06.808Z;4;
2020-05-25T04:40:06.861Z;4;
2020-05-25T05:40:06.920Z;4;
2020-05-25T06:40:06.936Z;4;
2020-05-25T07:40:06.940Z;7;
2020-05-25T08:40:06.948Z;9;
2020-05-25T09:40:07.008Z;11;
2020-05-25T10:40:07.086Z;12;
2020-05-25T11:40:07.179Z;10;
2020-05-25T12:40:07.276Z;11;
2020-05-25T13:40:07.308Z;12;
2020-05-25T14:40:07.336Z;12;
2020-05-25T15:40:07.437Z;12;
2020-05-25T16:40:07.488Z;11;
2020-05-25T17:40:07.496Z;8;
2020-05-25T18:40:07.500Z;8;
2020-05-25T19:40:07.500Z;8;
2020-05-25T20:40:07.560Z;8;
2020-05-25T21:40:07.636Z;8;
2020-05-25T22:40:07.718Z;8;
2020-05-25T23:40:07.812Z;8;
2020-05-26T00:40:07.896Z;8;
2020-05-26T01:40:07.992Z;8;
2020-05-26T02:40:08.076Z;8;
2020-05-26T03:40:08.177Z;8;
2020-05-26T04:40:08.254Z;8;
2020-05-26T05:40:08.292Z;8;
2020-05-26T06:40:08.340Z;7;
2020-05-26T07:40:08.398Z;10;
2020-05-26T08:40:08.496Z;10;
